X,Y,Color
-156.0,140.0,"(0.4, 0.8, 0.0, 1.0)"
-156.0,144.0,"(0.6, 0.8, 1.0, 1.0)"
-156.0,148.0,"(1.0, 1.0, 0.4, 1.0)"
-156.0,152.0,"(0.0, 0.6, 0.0, 1.0)"
-156.0,156.0,"(1.0, 1.0, 0.4, 1.0)"
-156.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-156.0,164.0,"(0.4, 0.8, 0.0, 1.0)"
-156.0,168.0,"(1.0, 1.0, 0.4, 1.0)"
-156.0,172.0,"(0.0, 0.2, 0.4, 1.0)"
-156.0,176.0,"(0.0, 0.6, 0.0, 1.0)"
-152.0,-180.0,"(0.0, 0.4, 0.8, 1.0)"
-152.0,76.0,"(0.6, 0.8, 1.0, 1.0)"
-152.0,84.0,"(0.6, 0.8, 1.0, 1.0)"
-152.0,92.0,"(0.6, 0.8, 1.0, 1.0)"
-152.0,100.0,"(0.6, 0.8, 1.0, 1.0)"
-152.0,104.0,"(0.6, 0.8, 1.0, 1.0)"
-152.0,112.0,"(0.0, 0.6, 0.0, 1.0)"
-152.0,116.0,"(0.6, 0.8, 1.0, 1.0)"
-152.0,120.0,"(0.0, 0.2, 0.4, 1.0)"
-152.0,124.0,"(0.6, 0.8, 1.0, 1.0)"
-152.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-152.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-152.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-152.0,140.0,"(0.0, 0.2, 0.4, 1.0)"
-152.0,144.0,"(0.6, 0.8, 1.0, 1.0)"
-152.0,148.0,"(0.4, 0.8, 0.0, 1.0)"
-152.0,152.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-152.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-152.0,160.0,"(0.0, 0.6, 0.0, 1.0)"
-152.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-152.0,168.0,"(0.0, 0.6, 0.0, 1.0)"
-152.0,172.0,"(1.0, 1.0, 0.4, 1.0)"
-148.0,-172.0,"(0.6, 0.8, 1.0, 1.0)"
-148.0,68.0,"(0.0, 0.2, 0.4, 1.0)"
-148.0,72.0,"(0.6, 0.8, 1.0, 1.0)"
-148.0,76.0,"(0.6, 0.8, 1.0, 1.0)"
-148.0,80.0,"(0.6, 0.8, 1.0, 1.0)"
-148.0,96.0,"(0.6, 0.8, 1.0, 1.0)"
-148.0,100.0,"(0.0, 0.6, 0.0, 1.0)"
-148.0,104.0,"(0.0, 0.4, 0.8, 1.0)"
-148.0,108.0,"(0.0, 0.6, 0.0, 1.0)"
-148.0,112.0,"(0.0, 0.2, 0.4, 1.0)"
-148.0,116.0,"(0.0, 0.2, 0.4, 1.0)"
-148.0,120.0,"(0.4, 0.8, 0.0, 1.0)"
-148.0,124.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,136.0,"(0.0, 0.2, 0.4, 1.0)"
-148.0,140.0,"(1.0, 1.0, 0.4, 1.0)"
-148.0,144.0,"(1.0, 1.0, 0.4, 1.0)"
-148.0,148.0,"(1.0, 1.0, 0.4, 1.0)"
-148.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,168.0,"(0.4, 0.8, 0.0, 1.0)"
-148.0,172.0,"(0.0, 0.2, 0.4, 1.0)"
-148.0,176.0,"(0.6, 0.8, 1.0, 1.0)"
-144.0,-180.0,"(0.6, 0.8, 1.0, 1.0)"
-144.0,-176.0,"(0.0, 0.4, 0.8, 1.0)"
-144.0,-172.0,"(0.6, 0.8, 1.0, 1.0)"
-144.0,-168.0,"(0.0, 0.4, 0.8, 1.0)"
-144.0,36.0,"(0.6, 0.8, 1.0, 1.0)"
-144.0,44.0,"(0.6, 0.8, 1.0, 1.0)"
-144.0,64.0,"(0.0, 0.4, 0.8, 1.0)"
-144.0,68.0,"(0.0, 0.4, 0.8, 1.0)"
-144.0,104.0,"(0.0, 0.4, 0.8, 1.0)"
-144.0,108.0,"(0.0, 0.4, 0.8, 1.0)"
-144.0,112.0,"(0.0, 0.2, 0.4, 1.0)"
-144.0,120.0,"(0.4, 0.8, 0.0, 1.0)"
-144.0,124.0,"(0.8, 0.0, 0.0, 1.0)"
-144.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-144.0,132.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-144.0,136.0,"(1.0, 0.0, 0.0, 1.0)"
-144.0,140.0,"(0.0, 0.6, 0.0, 1.0)"
-144.0,144.0,"(0.4, 0.8, 0.0, 1.0)"
-144.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-144.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-144.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-144.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-144.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-144.0,168.0,"(0.0, 0.4, 0.8, 1.0)"
-144.0,172.0,"(0.4, 0.8, 0.0, 1.0)"
-140.0,44.0,"(0.0, 0.4, 0.8, 1.0)"
-140.0,64.0,"(0.0, 0.4, 0.8, 1.0)"
-140.0,76.0,"(0.6, 0.8, 1.0, 1.0)"
-140.0,92.0,"(0.0, 0.4, 0.8, 1.0)"
-140.0,96.0,"(0.6, 0.8, 1.0, 1.0)"
-140.0,100.0,"(0.0, 0.4, 0.8, 1.0)"
-140.0,104.0,"(0.6, 0.8, 1.0, 1.0)"
-140.0,108.0,"(0.4, 0.8, 0.0, 1.0)"
-140.0,112.0,"(0.4, 0.8, 0.0, 1.0)"
-140.0,116.0,"(0.0, 0.2, 0.4, 1.0)"
-140.0,120.0,"(0.0, 0.4, 0.8, 1.0)"
-140.0,124.0,"(0.8, 0.0, 0.0, 1.0)"
-140.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-140.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-140.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-140.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-140.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-140.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-140.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-140.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-140.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-140.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-140.0,168.0,"(1.0, 1.0, 0.4, 1.0)"
-140.0,172.0,"(0.0, 0.4, 0.8, 1.0)"
-140.0,176.0,"(0.0, 0.2, 0.4, 1.0)"
-136.0,-180.0,"(0.6, 0.8, 1.0, 1.0)"
-136.0,-176.0,"(0.6, 0.8, 1.0, 1.0)"
-136.0,-172.0,"(0.6, 0.8, 1.0, 1.0)"
-136.0,-168.0,"(0.6, 0.8, 1.0, 1.0)"
-136.0,40.0,"(0.0, 0.4, 0.8, 1.0)"
-136.0,52.0,"(0.6, 0.8, 1.0, 1.0)"
-136.0,64.0,"(0.6, 0.8, 1.0, 1.0)"
-136.0,80.0,"(0.0, 0.4, 0.8, 1.0)"
-136.0,88.0,"(0.0, 0.2, 0.4, 1.0)"
-136.0,92.0,"(0.6, 0.8, 1.0, 1.0)"
-136.0,96.0,"(0.0, 0.4, 0.8, 1.0)"
-136.0,100.0,"(0.0, 0.6, 0.0, 1.0)"
-136.0,104.0,"(0.0, 0.4, 0.8, 1.0)"
-136.0,108.0,"(0.0, 0.2, 0.4, 1.0)"
-136.0,112.0,"(0.0, 0.4, 0.8, 1.0)"
-136.0,116.0,"(0.0, 0.2, 0.4, 1.0)"
-136.0,120.0,"(1.0, 0.0, 0.0, 1.0)"
-136.0,124.0,"(0.4, 0.8, 0.0, 1.0)"
-136.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-136.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-136.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-136.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-136.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-136.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-136.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-136.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-136.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-136.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-136.0,168.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-136.0,172.0,"(0.0, 0.6, 0.0, 1.0)"
-136.0,176.0,"(0.0, 0.4, 0.8, 1.0)"
-132.0,-180.0,"(0.6, 0.8, 1.0, 1.0)"
-132.0,-168.0,"(0.6, 0.8, 1.0, 1.0)"
-132.0,-160.0,"(0.6, 0.8, 1.0, 1.0)"
-132.0,40.0,"(0.6, 0.8, 1.0, 1.0)"
-132.0,76.0,"(0.0, 0.4, 0.8, 1.0)"
-132.0,80.0,"(0.0, 0.4, 0.8, 1.0)"
-132.0,96.0,"(0.0, 0.4, 0.8, 1.0)"
-132.0,100.0,"(0.0, 0.4, 0.8, 1.0)"
-132.0,108.0,"(0.0, 0.2, 0.4, 1.0)"
-132.0,112.0,"(0.0, 0.4, 0.8, 1.0)"
-132.0,116.0,"(0.4, 0.8, 0.0, 1.0)"
