X,Y,Color
-156.0,-4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,0.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,44.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,60.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-156.0,64.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,-44.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,-36.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,-24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,-16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,-8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,4.0,"(0.6, 0.8, 1.0, 1.0)"
-152.0,8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,28.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,32.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,36.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,44.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,48.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,72.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,80.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,92.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,100.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,116.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,144.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,148.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,168.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-152.0,172.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,-72.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,-56.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,-36.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,-32.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,-16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,-12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,-8.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,-4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,0.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,4.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,8.0,"(0.6, 0.8, 1.0, 1.0)"
-148.0,12.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,16.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,20.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,32.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
