X,Y,Color
-148.0,24.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,32.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,48.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,60.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,64.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,68.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,72.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,76.0,"(0.6, 0.8, 1.0, 1.0)"
-148.0,80.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,88.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,92.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,100.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,104.0,"(0.6, 0.8, 1.0, 1.0)"
-148.0,112.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,116.0,"(0.0, 0.4, 0.8, 1.0)"
-148.0,120.0,"(0.7607843137, 0.7764705882, 0.7529411765, 1.0)"
-148.0,124.0,"(0.0, 0.4, 0.8, 1.0)"
-148.0,128.0,"(0.0, 0.4, 0.8, 1.0)"
-148.0,132.0,"(0.6, 0.8, 1.0, 1.0)"
-148.0,136.0,"(0.6, 0.8, 1.0, 1.0)"
-148.0,140.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-148.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,168.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,172.0,"(0.8, 0.0, 0.0, 1.0)"
-148.0,176.0,"(0.8, 0.0, 0.0, 1.0)"
-144.0,-180.0,"(0.8, 0.0, 0.0, 1.0)"
-144.0,-176.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-144.0,-172.0,"(0.4, 0.8, 0.0, 1.0)"
-144.0,-168.0,"(0.0, 0.4, 0.8, 1.0)"
-144.0,-164.0,"(0.6, 0.8, 1.0, 1.0)"
